rt,url,experiment_phase,refresh_count,trial_type,trial_index,time_elapsed,experiment_name,assignment_id,hit_id,worker_id,turk_submit_to,preview_mode,outside_turk,start_time,condition,language,end_time,total_time,ip_address,version_date,anon_id,debug_mode,completion_code,seed,worker_info,platform,images,redirect_url,browser_events,success,screen_width,screen_height,window_width,window_height,form_name,form_id,instructions_viewed_count,view_history,responses,stimulus,form_data,is_prolific
39511.59999999963,,main,0,face-description-trial,4,84918,car_description_survey_2023-05-14,3IGI0VL64E0GWXBBNF2YI1R1DLHNO8,372AGES0JALLIKK2RB1ALEREDS7XRN,TP_1NTH6EIVVZIE8Z2,,False,False,2023-05-15T13:04:00Z,car_description,english,2023-05-15T13:10:40Z,398438,"""192.168.0.3""",2023-05-14,krgqvuzcvzz5tj5,False,6518955523-des-9505552759-crip,1684155840881,"{'assignmentId': '3IGI0VL64E0GWXBBNF2YI1R1DLHNO8', 'hitId': '372AGES0JALLIKK2RB1ALEREDS7XRN', 'workerId': 'TP_1NTH6EIVVZIE8Z2', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': False}",turk,"[95, 57, 64, 26, 66, 40, 29, 71, 39, 51]",,[],,,,,,,,,,{'Q0': 'a blue car just sitting in an empty parking lot possibly abandoned or just there for a photoshoot'},https://tlab-objects.s3.us-east-2.amazonaws.com/cars/images/description/0095.png,,False
27368.099999999627,,main,0,face-description-trial,5,112393,car_description_survey_2023-05-14,3IGI0VL64E0GWXBBNF2YI1R1DLHNO8,372AGES0JALLIKK2RB1ALEREDS7XRN,TP_1NTH6EIVVZIE8Z2,,False,False,2023-05-15T13:04:00Z,car_description,english,2023-05-15T13:10:40Z,398438,"""192.168.0.3""",2023-05-14,krgqvuzcvzz5tj5,False,6518955523-des-9505552759-crip,1684155840881,"{'assignmentId': '3IGI0VL64E0GWXBBNF2YI1R1DLHNO8', 'hitId': '372AGES0JALLIKK2RB1ALEREDS7XRN', 'workerId': 'TP_1NTH6EIVVZIE8Z2', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': False}",turk,"[95, 57, 64, 26, 66, 40, 29, 71, 39, 51]",,[],,,,,,,,,,{'Q0': 'a white car in a parking lot it might just be there for a photo op or just sitting there waiting to be driven '},https://tlab-objects.s3.us-east-2.amazonaws.com/cars/images/description/0071.png,,False
29392.10000000149,,main,0,face-description-trial,6,141895,car_description_survey_2023-05-14,3IGI0VL64E0GWXBBNF2YI1R1DLHNO8,372AGES0JALLIKK2RB1ALEREDS7XRN,TP_1NTH6EIVVZIE8Z2,,False,False,2023-05-15T13:04:00Z,car_description,english,2023-05-15T13:10:40Z,398438,"""192.168.0.3""",2023-05-14,krgqvuzcvzz5tj5,False,6518955523-des-9505552759-crip,1684155840881,"{'assignmentId': '3IGI0VL64E0GWXBBNF2YI1R1DLHNO8', 'hitId': '372AGES0JALLIKK2RB1ALEREDS7XRN', 'workerId': 'TP_1NTH6EIVVZIE8Z2', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': False}",turk,"[95, 57, 64, 26, 66, 40, 29, 71, 39, 51]",,[],,,,,,,,,,"{'Q0': 'a gray possibly sitting in a driveway , it might belong to someone or just getting ready to be sold '}",https://tlab-objects.s3.us-east-2.amazonaws.com/cars/images/description/0039.png,,False
18590.400000000373,,main,0,face-description-trial,7,160595,car_description_survey_2023-05-14,3IGI0VL64E0GWXBBNF2YI1R1DLHNO8,372AGES0JALLIKK2RB1ALEREDS7XRN,TP_1NTH6EIVVZIE8Z2,,False,False,2023-05-15T13:04:00Z,car_description,english,2023-05-15T13:10:40Z,398438,"""192.168.0.3""",2023-05-14,krgqvuzcvzz5tj5,False,6518955523-des-9505552759-crip,1684155840881,"{'assignmentId': '3IGI0VL64E0GWXBBNF2YI1R1DLHNO8', 'hitId': '372AGES0JALLIKK2RB1ALEREDS7XRN', 'workerId': 'TP_1NTH6EIVVZIE8Z2', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': False}",turk,"[95, 57, 64, 26, 66, 40, 29, 71, 39, 51]",,[],,,,,,,,,,{'Q0': 'a blue sedan in a parking lot with trees behind it . The car looks very clean and well kept'},https://tlab-objects.s3.us-east-2.amazonaws.com/cars/images/description/0040.png,,False
24727.599999999627,,main,0,face-description-trial,8,185433,car_description_survey_2023-05-14,3IGI0VL64E0GWXBBNF2YI1R1DLHNO8,372AGES0JALLIKK2RB1ALEREDS7XRN,TP_1NTH6EIVVZIE8Z2,,False,False,2023-05-15T13:04:00Z,car_description,english,2023-05-15T13:10:40Z,398438,"""192.168.0.3""",2023-05-14,krgqvuzcvzz5tj5,False,6518955523-des-9505552759-crip,1684155840881,"{'assignmentId': '3IGI0VL64E0GWXBBNF2YI1R1DLHNO8', 'hitId': '372AGES0JALLIKK2RB1ALEREDS7XRN', 'workerId': 'TP_1NTH6EIVVZIE8Z2', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': False}",turk,"[95, 57, 64, 26, 66, 40, 29, 71, 39, 51]",,[],,,,,,,,,,{'Q0': 'a red car that is more of an older model that looks well taken care of and has a lot of horse power'},https://tlab-objects.s3.us-east-2.amazonaws.com/cars/images/description/0064.png,,False
32127.0,,main,0,face-description-trial,9,217671,car_description_survey_2023-05-14,3IGI0VL64E0GWXBBNF2YI1R1DLHNO8,372AGES0JALLIKK2RB1ALEREDS7XRN,TP_1NTH6EIVVZIE8Z2,,False,False,2023-05-15T13:04:00Z,car_description,english,2023-05-15T13:10:40Z,398438,"""192.168.0.3""",2023-05-14,krgqvuzcvzz5tj5,False,6518955523-des-9505552759-crip,1684155840881,"{'assignmentId': '3IGI0VL64E0GWXBBNF2YI1R1DLHNO8', 'hitId': '372AGES0JALLIKK2RB1ALEREDS7XRN', 'workerId': 'TP_1NTH6EIVVZIE8Z2', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': False}",turk,"[95, 57, 64, 26, 66, 40, 29, 71, 39, 51]",,[],,,,,,,,,,{'Q0': 'a blue car that is sitting in a lot with trees in the background. The car looks like its very fast and is a part of some sort of collector edition'},https://tlab-objects.s3.us-east-2.amazonaws.com/cars/images/description/0026.png,,False
18828.0,,main,0,face-description-trial,10,236609,car_description_survey_2023-05-14,3IGI0VL64E0GWXBBNF2YI1R1DLHNO8,372AGES0JALLIKK2RB1ALEREDS7XRN,TP_1NTH6EIVVZIE8Z2,,False,False,2023-05-15T13:04:00Z,car_description,english,2023-05-15T13:10:40Z,398438,"""192.168.0.3""",2023-05-14,krgqvuzcvzz5tj5,False,6518955523-des-9505552759-crip,1684155840881,"{'assignmentId': '3IGI0VL64E0GWXBBNF2YI1R1DLHNO8', 'hitId': '372AGES0JALLIKK2RB1ALEREDS7XRN', 'workerId': 'TP_1NTH6EIVVZIE8Z2', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': False}",turk,"[95, 57, 64, 26, 66, 40, 29, 71, 39, 51]",,[],,,,,,,,,,"{'Q0': 'a car siting at the side of the beach , it is there for a photo op or they are taking pics of it to get ready to sale it'}",https://tlab-objects.s3.us-east-2.amazonaws.com/cars/images/description/0057.png,,
24965.599999999627,,main,0,face-description-trial,11,261684,car_description_survey_2023-05-14,3IGI0VL64E0GWXBBNF2YI1R1DLHNO8,372AGES0JALLIKK2RB1ALEREDS7XRN,TP_1NTH6EIVVZIE8Z2,,False,False,2023-05-15T13:04:00Z,car_description,english,2023-05-15T13:10:40Z,398438,"""192.168.0.3""",2023-05-14,krgqvuzcvzz5tj5,False,6518955523-des-9505552759-crip,1684155840881,"{'assignmentId': '3IGI0VL64E0GWXBBNF2YI1R1DLHNO8', 'hitId': '372AGES0JALLIKK2RB1ALEREDS7XRN', 'workerId': 'TP_1NTH6EIVVZIE8Z2', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': False}",turk,"[95, 57, 64, 26, 66, 40, 29, 71, 39, 51]",,[],,,,,,,,,,{'Q0': 'a smaller vehicle on the beach with a very attractive front end. It looks like its on the older side but still able to run'},https://tlab-objects.s3.us-east-2.amazonaws.com/cars/images/description/0029.png,,
32824.90000000037,,main,0,face-description-trial,12,294619,car_description_survey_2023-05-14,3IGI0VL64E0GWXBBNF2YI1R1DLHNO8,372AGES0JALLIKK2RB1ALEREDS7XRN,TP_1NTH6EIVVZIE8Z2,,False,False,2023-05-15T13:04:00Z,car_description,english,2023-05-15T13:10:40Z,398438,"""192.168.0.3""",2023-05-14,krgqvuzcvzz5tj5,False,6518955523-des-9505552759-crip,1684155840881,"{'assignmentId': '3IGI0VL64E0GWXBBNF2YI1R1DLHNO8', 'hitId': '372AGES0JALLIKK2RB1ALEREDS7XRN', 'workerId': 'TP_1NTH6EIVVZIE8Z2', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': False}",turk,"[95, 57, 64, 26, 66, 40, 29, 71, 39, 51]",,[],,,,,,,,,,{'Q0': 'an older car that looks like  a muscle car thats white in color. There is a building in the background and some trees'},https://tlab-objects.s3.us-east-2.amazonaws.com/cars/images/description/0051.png,,
26890.5,,main,0,face-description-trial,13,321620,car_description_survey_2023-05-14,3IGI0VL64E0GWXBBNF2YI1R1DLHNO8,372AGES0JALLIKK2RB1ALEREDS7XRN,TP_1NTH6EIVVZIE8Z2,,False,False,2023-05-15T13:04:00Z,car_description,english,2023-05-15T13:10:40Z,398438,"""192.168.0.3""",2023-05-14,krgqvuzcvzz5tj5,False,6518955523-des-9505552759-crip,1684155840881,"{'assignmentId': '3IGI0VL64E0GWXBBNF2YI1R1DLHNO8', 'hitId': '372AGES0JALLIKK2RB1ALEREDS7XRN', 'workerId': 'TP_1NTH6EIVVZIE8Z2', 'turkSubmitTo': '', 'previewMode': False, 'outsideTurk': False}",turk,"[95, 57, 64, 26, 66, 40, 29, 71, 39, 51]",,[],,,,,,,,,,"{'Q0': ""a smaller car on a lot that's turned slightly sideways. There are trees in the background and the photo is dark than normal ""}",https://tlab-objects.s3.us-east-2.amazonaws.com/cars/images/description/0066.png,,
